cycle,sensor_timestamp_s,receive_timestamp_s,aligned_timestamp_s,decision_complete_timestamp_s,apply_timestamp_s,n,e,psi_rad,u_mps,v_mps,r_rad_s,actual_thrust_n,actual_delta_rad,requested_throttle,requested_steering_rad,applied_throttle,applied_steering_rad,outcome,paper_status,witness_required_throttle,used_hypothetical_throttle,recovery_active,predicted_minimum_clearance_m,true_minimum_clearance_m,requested_horizon_s,actual_horizon_s,end_to_end_latency_ms,planning_latency_ms,track_count,evaluated_candidates,evaluated_branches,integration_steps,search_complete,minimality_established
0,0.0,0.0,0.0,0.000219,0.1,-11.900000000000002,0.0,0.0,1.0,0.0,0.0,10.0,0.0,0.5,0.0,0.5,0.0,witness_found,0,0.5,False,False,inf,inf,10.1,10.1,0.219,0.219,0,1,12,601,True,True
1,0.1,0.1,0.1,0.10018210000000001,0.2,-11.800000000212178,-5.555012538035213e-07,2.1005522520747404e-06,0.9999999919788745,-1.8086546215855687e-05,6.094187303054248e-05,10.0,0.0011504929379906896,0.5,0.003489727736185474,0.5,0.003489727736185474,witness_found,0,0.5,False,False,inf,inf,10.1,10.1,0.1821,0.1821,0,1,12,601,True,True
2,0.2,0.2,0.2,0.2001725,0.30000000000000004,-11.700000003988416,-4.492763307928903e-06,1.7370028660075396e-05,0.9999999090723293,-8.769563693139336e-05,0.00027582552949818775,10.0,0.00307034392442391,0.5,0.006973872652428598,0.5,0.006973872652428598,witness_found,0,0.5,False,False,inf,inf,10.1,10.1,0.1725,0.1725,0,1,12,601,True,True
3,0.30000000000000004,0.30000000000000004,0.30000000000000004,0.30017330000000003,0.4,-11.600000025790447,-1.6291841743148867e-05,6.447962649652177e-05,0.9999995852417706,-0.00023887973861402706,0.0007059995373189154,10.0,0.005502232966504242,0.5,0.01044686086010799,0.5,0.01044686086010799,witness_found,0,0.5,False,False,inf,inf,10.1,10.1,0.1733,0.1733,0,1,12,601,True,True
4,0.4,0.4,0.4,0.40017240000000004,0.5,-11.500000099671645,-4.1165660279188634e-05,0.00016714197937164454,0.999998756820722,-0.0004990762834208156,0.0013924600605070077,10.0,0.008271841575083776,0.5,0.013903136318956,0.5,0.013903136318956,witness_found,0,0.5,False,False,inf,inf,10.1,10.1,0.1724,0.1724,0,1,12,601,True,True
