cycle,sensor_timestamp_s,receive_timestamp_s,aligned_timestamp_s,decision_complete_timestamp_s,apply_timestamp_s,n,e,psi_rad,u_mps,v_mps,r_rad_s,actual_thrust_n,actual_delta_rad,requested_throttle,requested_steering_rad,applied_throttle,applied_steering_rad,outcome,paper_status,witness_required_throttle,used_hypothetical_throttle,recovery_active,predicted_minimum_clearance_m,true_minimum_clearance_m,requested_horizon_s,actual_horizon_s,end_to_end_latency_ms,planning_latency_ms,track_count,evaluated_candidates,evaluated_branches,integration_steps,search_complete,minimality_established
0,0.0,0.0,0.0,0.0007674,0.1,-11.900000000000002,0.0,0.0,1.0,0.0,0.0,10.0,0.0,0.5,0.0,0.5,0.0,witness_found,0,0.5,False,False,5.8515102114779465,10.500000000000002,10.1,10.1,0.7674,0.7674,1,1,12,577,True,True
1,0.1,0.1,0.1,0.100217,0.2,-11.800000000000004,0.0,0.0,1.0,0.0,0.0,10.0,0.0,0.5,0.0,0.5,0.0,witness_found,0,0.5,False,False,5.753643781129454,10.400000000000004,10.1,10.1,0.217,0.217,1,1,12,573,True,True
2,0.2,0.2,0.2,0.2001917,0.30000000000000004,-11.700000000000006,0.0,0.0,1.0,0.0,0.0,10.0,0.0,0.5,0.0,0.5,0.0,witness_found,0,0.5,False,False,5.655830213288499,10.300000000000006,10.1,10.1,0.1917,0.1917,1,1,12,573,True,True
3,0.30000000000000004,0.30000000000000004,0.30000000000000004,0.3001886,0.4,-11.600000000000009,0.0,0.0,1.0,0.0,0.0,10.0,0.0,0.5,0.0,0.5,0.0,witness_found,0,0.5,False,False,5.558071474422311,10.200000000000008,10.1,10.1,0.1886,0.1886,1,1,12,569,True,True
4,0.4,0.4,0.4,0.4001884,0.5,-11.50000000000001,0.0,0.0,1.0,0.0,0.0,10.0,0.0,0.5,0.0,0.5,0.0,witness_found,0,0.5,False,False,5.460369628555286,10.10000000000001,10.1,10.1,0.1884,0.1884,1,1,12,569,True,True
