stage,case_id,variant,family,collision,goal_reached,mission_outcome,goal_time_s,north_progress_m,goal_distance_reduction_m,path_length_m,pass_through_rate,mean_steering_modification_rad,budget_unknown_fraction,no_witness_fraction
R05_closed,crossing_000,limited_exhaustive,crossing,True,,,,9.289627083806003,,9.416172736301148,0.25531914893617025,0.05416438707495994,0.6276595744680851,0.14893617021276595
R05_closed,crossing_000,limited_short,crossing,True,,,,9.341558445798995,,9.49867114316386,0.3052631578947368,0.05348530057623102,0.5684210526315789,0.14736842105263157
R05_closed,crossing_001,limited_exhaustive,crossing,True,,,,9.400654077407939,,9.5695048095735,0.29702970297029707,0.047994254691365396,0.6039603960396039,0.12871287128712872
R05_closed,crossing_001,limited_short,crossing,True,,,,9.389622698648207,,9.566474924940396,0.3168316831683168,0.047956644010356826,0.5742574257425742,0.12871287128712872
R05_closed,crossing_002,limited_exhaustive,crossing,False,,,,14.359720147530334,,23.413458755247003,0.31999999999999995,0.06065871755660874,0.475,0.225
R05_closed,crossing_002,limited_short,crossing,False,,,,4.615758045382979,,21.86780327906992,0.855,0.00018919785536987112,0.145,0.0
R05_closed,crossing_003,limited_exhaustive,crossing,True,,,,10.777962481300511,,11.673528835718352,0.30841121495327106,0.06427155705473252,0.5420560747663551,0.17757009345794392
R05_closed,crossing_003,limited_short,crossing,True,,,,11.08859888320413,,13.464414258141757,0.3779527559055118,0.13226722742976485,0.3464566929133858,0.29133858267716534
R05_closed,crossing_004,limited_exhaustive,crossing,True,,,,8.191419056377248,,8.213321279289639,0.15000000000000002,0.05194989398391647,0.7375,0.15
R05_closed,crossing_004,limited_short,crossing,True,,,,8.187444879033924,,8.211792899818043,0.17500000000000004,0.051867011315062606,0.7,0.15
R05_closed,crossing_005,limited_exhaustive,crossing,True,,,,8.814762052329094,,8.9421254523641,0.40476190476190477,0.06068281085005549,0.4642857142857143,0.16666666666666666
R05_closed,crossing_005,limited_short,crossing,True,,,,8.814762052329094,,8.9421254523641,0.40476190476190477,0.06068281085005549,0.4523809523809524,0.16666666666666666
R05_closed,crossing_006,limited_exhaustive,crossing,True,,,,8.832341363139898,,8.909578112152223,0.17894736842105263,0.049572191061637766,0.7157894736842105,0.1368421052631579
R05_closed,crossing_006,limited_short,crossing,True,,,,8.893214711416524,,8.99152869321338,0.22916666666666663,0.0517896558684437,0.6458333333333334,0.14583333333333334
R05_closed,crossing_007,limited_exhaustive,crossing,False,,,,4.935173891026019,,20.57259937329569,0.5,0.0010471513715747884,0.505,0.0
R05_closed,crossing_007,limited_short,crossing,False,,,,4.125533130974318,,20.47202809333182,0.985,3.160857986536656e-06,0.015,0.0
R05_closed,crossing_008,limited_exhaustive,crossing,False,,,,9.364125016788172,,18.729361851755264,0.19999999999999996,0.053592089852722846,0.515,0.355
R05_closed,crossing_008,limited_short,crossing,False,,,,6.525789041750252,,18.390987427082965,0.43000000000000005,0.028793342201700697,0.505,0.07
R05_closed,crossing_009,limited_exhaustive,crossing,False,,,,5.160065705149315,,20.9542883284886,0.22499999999999998,0.0038246591985783324,0.78,0.0
R05_closed,crossing_009,limited_short,crossing,False,,,,4.278096297749692,,20.888761202942796,0.94,2.574026819629923e-05,0.06,0.0
R05_closed,late_high_throttle_000,limited_exhaustive,late_high_throttle,True,,,,5.32904670859415,,5.329792687731546,0.11111111111111116,0.06139430619088605,0.6388888888888888,0.25
R05_closed,late_high_throttle_000,limited_short,late_high_throttle,True,,,,5.32904670859415,,5.329792687731546,0.11111111111111116,0.06139430619088605,0.6388888888888888,0.25
R05_closed,late_high_throttle_001,limited_exhaustive,late_high_throttle,True,,,,6.3215709026142735,,6.32295503484547,0.25,0.0611450127623272,0.55,0.2
R05_closed,late_high_throttle_001,limited_short,late_high_throttle,True,,,,6.3215709026142735,,6.32295503484547,0.25,0.0611450127623272,0.55,0.2
R05_closed,late_high_throttle_002,limited_exhaustive,late_high_throttle,True,,,,4.762998566346595,,4.763434423722271,0.09999999999999998,0.06416574752389413,0.6,0.3
R05_closed,late_high_throttle_002,limited_short,late_high_throttle,True,,,,4.762998566346595,,4.763434423722271,0.09999999999999998,0.06416574752389413,0.6,0.3
R05_closed,late_high_throttle_003,limited_exhaustive,late_high_throttle,True,,,,5.286013799454832,,5.2943008757687435,0.08823529411764708,0.08788500596528492,0.6470588235294118,0.2647058823529412
R05_closed,late_high_throttle_003,limited_short,late_high_throttle,True,,,,5.286013799454832,,5.2943008757687435,0.08823529411764708,0.08788500596528492,0.6470588235294118,0.2647058823529412
R05_closed,late_high_throttle_004,limited_exhaustive,late_high_throttle,True,,,,6.415871875002629,,6.416758116517334,0.26190476190476186,0.04050617229873797,0.5,0.23809523809523808
R05_closed,late_high_throttle_004,limited_short,late_high_throttle,True,,,,6.415871875002629,,6.416758116517334,0.26190476190476186,0.04050617229873797,0.5,0.23809523809523808
R05_closed,late_high_throttle_005,limited_exhaustive,late_high_throttle,True,,,,4.728385569823438,,4.729346645234659,0.0625,0.06279204442532024,0.6875,0.28125
R05_closed,late_high_throttle_005,limited_short,late_high_throttle,True,,,,4.728385569823438,,4.729346645234659,0.0625,0.06279204442532024,0.6875,0.28125
