stage,variant,case,family,collision,goal_reached,mission_outcome,observed_duration_s,minimum_true_hull_clearance_m,north_progress_m,budget_unknown_fraction,mean_integration_steps
R08_open,u4_first_b2048,crossing_001,crossing,False,,,20.000000000000004,0.060975957503905276,5.051866198030911,0.26,797.095
R08_open,u4_first_b512,crossing_001,crossing,False,,,20.000000000000004,0.5407459359291138,4.073833185704917,0.375,254.095
R08_open,u2_exhaustive_b2000000,crossing_002,crossing,False,,,20.000000000000004,1.568069284878102,1.9103632924664602,0.0,875.05
R08_open,u2_exhaustive_b2048,crossing_002,crossing,True,,,7.2,-0.028154369513032518,7.775928012601371,0.4305555555555556,1226.2083333333333
R08_open,u2_exhaustive_b512,crossing_002,crossing,True,,,6.7,-0.07874889437034882,7.547183276215678,0.6268656716417911,435.0149253731343
R08_open,u2_first_b2000000,crossing_002,crossing,False,,,20.000000000000004,1.568069284878102,1.9103632924664602,0.0,451.77
R08_open,u2_first_b2048,crossing_002,crossing,True,,,7.2,-0.028154369513032518,7.775928012601371,0.4305555555555556,1152.125
R08_open,u2_first_b512,crossing_002,crossing,True,,,6.7,-0.07874889437034882,7.547183276215678,0.6119402985074627,356.7313432835821
R08_open,u4_first_b2000000,crossing_002,crossing,False,,,20.000000000000004,1.570643801560161,1.9023092399459136,0.0,292.675
R08_open,u4_first_b2048,crossing_002,crossing,True,,,7.9,-0.03245755725376476,7.869223387289249,0.31645569620253167,998.3924050632911
R08_open,u4_first_b512,crossing_002,crossing,True,,,6.7,-0.09556126965225564,7.5504957789512614,0.582089552238806,345.05970149253733
R08_open,u2_exhaustive_b2000000,crossing_003,crossing,False,,,20.000000000000004,2.0200426262894053,2.449974494804726,0.0,791.665
R08_open,u2_exhaustive_b2048,crossing_003,crossing,False,,,20.000000000000004,0.1917081308366113,19.966519412109268,0.17,742.105
R08_open,u2_exhaustive_b512,crossing_003,crossing,False,,,20.000000000000004,0.19341139330190393,14.24936844647695,0.28,382.58
R08_open,u2_first_b2000000,crossing_003,crossing,False,,,20.000000000000004,2.0200426262894053,2.449974494804726,0.0,357.325
R08_open,u2_first_b2048,crossing_003,crossing,False,,,20.000000000000004,0.1917081308366113,19.966519412109268,0.17,474.275
R08_open,u2_first_b512,crossing_003,crossing,False,,,20.000000000000004,0.3854181060058708,12.717679000605887,0.215,183.235
R08_open,u4_first_b2000000,crossing_003,crossing,False,,,20.000000000000004,2.0200426262894053,2.449974494804726,0.0,240.895
R08_open,u4_first_b2048,crossing_003,crossing,False,,,20.000000000000004,0.06159162732519552,20.044366252830507,0.11,447.735
R08_open,u4_first_b512,crossing_003,crossing,False,,,20.000000000000004,0.3847823745913286,14.82827625411392,0.2,162.815
R08_open,u2_exhaustive_b2000000,crossing_004,crossing,False,,,20.000000000000004,1.880908825428449,3.131389578357049,0.0,771.17
